fullname,Level of Maternity Care,fipscode
Tazewell,Access to Maternity Care,17179
Union,Access to Maternity Care,17181
Vermilion,Moderate Access to Care,17183
Wabash,Maternity Care Desert,17185
Warren,Moderate Access to Care,17187
Washington,Access to Maternity Care,17189
Wayne,Maternity Care Desert,17191
White,Access to Maternity Care,17193
Whiteside,Access to Maternity Care,17195
Will,Access to Maternity Care,17197
Williamson,Access to Maternity Care,17199
Winnebago,Access to Maternity Care,17201
Woodford,Moderate Access to Care,17203
Adams,Access to Maternity Care,18001
Allen,Access to Maternity Care,18003
Bartholomew,Access to Maternity Care,18005
Benton,Maternity Care Desert,18007
Blackford,Maternity Care Desert,18009
Boone,Access to Maternity Care,18011
Brown,Maternity Care Desert,18013
Carroll,Maternity Care Desert,18015
Cass,Access to Maternity Care,18017
Clark,Access to Maternity Care,18019
Clay,Maternity Care Desert,18021
Clinton,Low Access to Care,18023
Crawford,Access to Maternity Care,18025
Daviess,Low Access to Care,18027
Dearborn,Access to Maternity Care,18029
Decatur,Moderate Access to Care,18031
De Kalb,Access to Maternity Care,18033
Delaware,Access to Maternity Care,18035
Dubois,Access to Maternity Care,18037
Elkhart,Access to Maternity Care,18039
Fayette,Maternity Care Desert,18041
Floyd,Access to Maternity Care,18043
Fountain,Maternity Care Desert,18045
Franklin,Access to Maternity Care,18047
Fulton,Access to Maternity Care,18049
Gibson,Maternity Care Desert,18051
Grant,Low Access to Care,18053
Greene,Low Access to Care,18055
Hamilton,Access to Maternity Care,18057
Hancock,Access to Maternity Care,18059
Harrison,Moderate Access to Care,18061
Hendricks,Access to Maternity Care,18063
Henry,Moderate Access to Care,18065
Howard,Access to Maternity Care,18067
Huntington,Access to Maternity Care,18069
Jackson,Access to Maternity Care,18071
Jasper,Maternity Care Desert,18073
Jay,Low Access to Care,18075
Jefferson,Access to Maternity Care,18077
Jennings,Maternity Care Desert,18079
Johnson,Access to Maternity Care,18081
Knox,Access to Maternity Care,18083
Kosciusko,Low Access to Care,18085
Lagrange,Access to Maternity Care,18087
Lake,Access to Maternity Care,18089
La Porte,Low Access to Care,18091
Lawrence,Moderate Access to Care,18093
Madison,Access to Maternity Care,18095
Marion,Access to Maternity Care,18097
Marshall,Access to Maternity Care,18099
Martin,Maternity Care Desert,18101
Miami,Access to Maternity Care,18103
Monroe,Access to Maternity Care,18105
Montgomery,Access to Maternity Care,18107
Morgan,Maternity Care Desert,18109
Newton,Maternity Care Desert,18111
Noble,Low Access to Care,18113
Ohio,Maternity Care Desert,18115
Orange,Low Access to Care,18117
Owen,Low Access to Care,18119
Parke,Low Access to Care,18121
Perry,Moderate Access to Care,18123
Pike,Maternity Care Desert,18125
Porter,Access to Maternity Care,18127
Posey,Maternity Care Desert,18129
Pulaski,Low Access to Care,18131
Putnam,Moderate Access to Care,18133
Randolph,Access to Maternity Care,18135
Ripley,Low Access to Care,18137
Rush,Maternity Care Desert,18139
St Joseph,Access to Maternity Care,18141
Scott,Moderate Access to Care,18143
Shelby,Access to Maternity Care,18145
Spencer,Maternity Care Desert,18147
Starke,Maternity Care Desert,18149
Steuben,Low Access to Care,18151
Sullivan,Moderate Access to Care,18153
Switzerland,Maternity Care Desert,18155
Tippecanoe,Access to Maternity Care,18157
Tipton,Access to Maternity Care,18159
Union,Access to Maternity Care,18161
Vanderburgh,Access to Maternity Care,18163
Vermillion,Moderate Access to Care,18165
Vigo,Access to Maternity Care,18167
Wabash,Low Access to Care,18169
Warren,Maternity Care Desert,18171
Warrick,Access to Maternity Care,18173
Washington,Maternity Care Desert,18175
Wayne,Low Access to Care,18177
Wells,Access to Maternity Care,18179
White,Maternity Care Desert,18181
Whitley,Moderate Access to Care,18183
Allen,Low Access to Care,20001
Anderson,Maternity Care Desert,20003
Atchison,Moderate Access to Care,20005
Barber,Maternity Care Desert,20007
Barton,Low Access to Care,20009
Bourbon,Maternity Care Desert,20011
Brown,Low Access to Care,20013
Butler,Moderate Access to Care,20015
Chase,Maternity Care Desert,20017
Chautauqua,Maternity Care Desert,20019
Cherokee,Maternity Care Desert,20021
Cheyenne,Low Access to Care,20023
Clark,Maternity Care Desert,20025
Clay,Access to Maternity Care,20027
Cloud,Maternity Care Desert,20029
Coffey,Moderate Access to Care,20031
Comanche,Maternity Care Desert,20033
Cowley,Access to Maternity Care,20035
Crawford,Low Access to Care,20037
Decatur,Access to Maternity Care,20039
Dickinson,Low Access to Care,20041
Doniphan,Maternity Care Desert,20043
Douglas,Access to Maternity Care,20045
Edwards,Maternity Care Desert,20047
Elk,Maternity Care Desert,20049
Ellis,Access to Maternity Care,20051
Ellsworth,Maternity Care Desert,20053
Finney,Low Access to Care,20055
Ford,Low Access to Care,20057
Franklin,Moderate Access to Care,20059
Geary,Access to Maternity Care,20061
Gove,Maternity Care Desert,20063
Graham,Maternity Care Desert,20065
Grant,Access to Maternity Care,20067
Gray,Maternity Care Desert,20069
Greeley,Maternity Care Desert,20071
Greenwood,Maternity Care Desert,20073
Hamilton,Maternity Care Desert,20075
Harper,Maternity Care Desert,20077
Harvey,Access to Maternity Care,20079
Haskell,Maternity Care Desert,20081
Hodgeman,Maternity Care Desert,20083
Jackson,Maternity Care Desert,20085
Jefferson,Low Access to Care,20087
Jewell,Maternity Care Desert,20089
Johnson,Access to Maternity Care,20091
Kearny,Low Access to Care,20093
Kingman,Maternity Care Desert,20095
Kiowa,Maternity Care Desert,20097
Labette,Access to Maternity Care,20099
Lane,Maternity Care Desert,20101
Leavenworth,Access to Maternity Care,20103
Lincoln,Maternity Care Desert,20105
Linn,Maternity Care Desert,20107
Logan,Maternity Care Desert,20109
Lyon,Access to Maternity Care,20111
McPherson,Moderate Access to Care,20113
Marion,Maternity Care Desert,20115
Marshall,Access to Maternity Care,20117
Meade,Maternity Care Desert,20119
Miami,Maternity Care Desert,20121
Mitchell,Moderate Access to Care,20123
Montgomery,Low Access to Care,20125
Morris,Low Access to Care,20127
Morton,Maternity Care Desert,20129
Nemaha,Access to Maternity Care,20131
Neosho,Access to Maternity Care,20133
Ness,Maternity Care Desert,20135
Norton,Low Access to Care,20137
Osage,Access to Maternity Care,20139
Osborne,Maternity Care Desert,20141
Ottawa,Maternity Care Desert,20143
Pawnee,Access to Maternity Care,20145
Phillips,Maternity Care Desert,20147
Pottawatomie,Moderate Access to Care,20149
Pratt,Access to Maternity Care,20151
Rawlins,Maternity Care Desert,20153
Reno,Access to Maternity Care,20155
Republic,Low Access to Care,20157
Rice,Access to Maternity Care,20159
Riley,Access to Maternity Care,20161
Rooks,Access to Maternity Care,20163
Rush,Maternity Care Desert,20165
Russell,Maternity Care Desert,20167
Saline,Access to Maternity Care,20169
Scott,Low Access to Care,20171
Sedgwick,Access to Maternity Care,20173
Seward,Low Access to Care,20175
Shawnee,Access to Maternity Care,20177
Sheridan,Maternity Care Desert,20179
Sherman,Maternity Care Desert,20181
Smith,Access to Maternity Care,20183
Stafford,Maternity Care Desert,20185
Stanton,Low Access to Care,20187
Stevens,Maternity Care Desert,20189
Sumner,Maternity Care Desert,20191
Thomas,Low Access to Care,20193
Trego,Maternity Care Desert,20195
Wabaunsee,Access to Maternity Care,20197
Wallace,Maternity Care Desert,20199
Washington,Low Access to Care,20201
Wichita,Maternity Care Desert,20203
Wilson,Maternity Care Desert,20205
Woodson,Maternity Care Desert,20207
Wyandotte,Access to Maternity Care,20209
Adair,Access to Maternity Care,21001
Allen,Maternity Care Desert,21003
Anderson,Access to Maternity Care,21005
Ballard,Maternity Care Desert,21007
Barren,Access to Maternity Care,21009
Bath,Maternity Care Desert,21011
Bell,Moderate Access to Care,21013
Boone,Access to Maternity Care,21015
Bourbon,Moderate Access to Care,21017
Boyd,Access to Maternity Care,21019
Boyle,Access to Maternity Care,21021
Bracken,Maternity Care Desert,21023
Breathitt,Maternity Care Desert,21025
Breckinridge,Maternity Care Desert,21027
Bullitt,Maternity Care Desert,21029
Butler,Maternity Care Desert,21031
Caldwell,Maternity Care Desert,21033
Calloway,Access to Maternity Care,21035
Campbell,Access to Maternity Care,21037
Carlisle,Maternity Care Desert,21039
Carroll,Maternity Care Desert,21041
Carter,Moderate Access to Care,21043
Casey,Low Access to Care,21045
Christian,Moderate Access to Care,21047
Clark,Access to Maternity Care,21049
Clay,Access to Maternity Care,21051
Clinton,Maternity Care Desert,21053
Crittenden,Maternity Care Desert,21055
Cumberland,Maternity Care Desert,21057
Daviess,Access to Maternity Care,21059
Edmonson,Maternity Care Desert,21061
Elliott,Maternity Care Desert,21063
Estill,Maternity Care Desert,21065
Fayette,Access to Maternity Care,21067
Fleming,Low Access to Care,21069
Floyd,Access to Maternity Care,21071
Franklin,Moderate Access to Care,21073
Fulton,Maternity Care Desert,21075
Gallatin,Maternity Care Desert,21077
Garrard,Maternity Care Desert,21079
Grant,Moderate Access to Care,21081
Graves,Access to Maternity Care,21083
Grayson,Maternity Care Desert,21085
Green,Maternity Care Desert,21087
Greenup,Moderate Access to Care,21089
Hancock,Maternity Care Desert,21091
Hardin,Access to Maternity Care,21093
Harlan,Access to Maternity Care,21095
Harrison,Access to Maternity Care,21097
Hart,Maternity Care Desert,21099
Henderson,Access to Maternity Care,21101
Henry,Maternity Care Desert,21103
Hickman,Maternity Care Desert,21105
Hopkins,Access to Maternity Care,21107
Jackson,Maternity Care Desert,21109
Jefferson,Access to Maternity Care,21111
Jessamine,Moderate Access to Care,21113
Johnson,Moderate Access to Care,21115
Kenton,Access to Maternity Care,21117
Knott,Maternity Care Desert,21119
Knox,Maternity Care Desert,21121
Larue,Access to Maternity Care,21123
Laurel,Access to Maternity Care,21125
Lawrence,Maternity Care Desert,21127
Lee,Access to Maternity Care,21129
Leslie,Access to Maternity Care,21131
Letcher,Access to Maternity Care,21133
Lewis,Maternity Care Desert,21135
Lincoln,Access to Maternity Care,21137
Livingston,Maternity Care Desert,21139
Logan,Maternity Care Desert,21141
Lyon,Maternity Care Desert,21143
McCracken,Access to Maternity Care,21145
McCreary,Maternity Care Desert,21147
McLean,Maternity Care Desert,21149
Madison,Access to Maternity Care,21151
Magoffin,Access to Maternity Care,21153
Marion,Access to Maternity Care,21155
Marshall,Moderate Access to Care,21157
Martin,Maternity Care Desert,21159
Mason,Access to Maternity Care,21161
Meade,Maternity Care Desert,21163
Menifee,Maternity Care Desert,21165
Mercer,Maternity Care Desert,21167
Metcalfe,Maternity Care Desert,21169
Monroe,Maternity Care Desert,21171
Montgomery,Moderate Access to Care,21173
Morgan,Maternity Care Desert,21175
Muhlenberg,Moderate Access to Care,21177
Nelson,Access to Maternity Care,21179
Nicholas,Maternity Care Desert,21181
Ohio,Moderate Access to Care,21183
Oldham,Access to Maternity Care,21185
Owen,Maternity Care Desert,21187
Owsley,Maternity Care Desert,21189
Pendleton,Maternity Care Desert,21191
Perry,Access to Maternity Care,21193
Pike,Access to Maternity Care,21195
Powell,Maternity Care Desert,21197
Pulaski,Access to Maternity Care,21199
Robertson,Maternity Care Desert,21201
Rockcastle,Maternity Care Desert,21203
Rowan,Access to Maternity Care,21205
Russell,Maternity Care Desert,21207
Scott,Moderate Access to Care,21209
Shelby,Moderate Access to Care,21211
Simpson,Maternity Care Desert,21213
Spencer,Moderate Access to Care,21215
Taylor,Access to Maternity Care,21217
Todd,Low Access to Care,21219
Trigg,Maternity Care Desert,21221
Trimble,Maternity Care Desert,21223
Union,Access to Maternity Care,21225
Warren,Access to Maternity Care,21227
Washington,Maternity Care Desert,21229
Wayne,Maternity Care Desert,21231
Webster,Maternity Care Desert,21233
Whitley,Moderate Access to Care,21235
Wolfe,Maternity Care Desert,21237
Woodford,Access to Maternity Care,21239
Acadia,Low Access to Care,22001
Allen,Maternity Care Desert,22003
Ascension,Moderate Access to Care,22005
Assumption,Maternity Care Desert,22007
Avoyelles,Maternity Care Desert,22009
Beauregard,Access to Maternity Care,22011
Bienville,Maternity Care Desert,22013
Bossier,Access to Maternity Care,22015
Caddo,Access to Maternity Care,22017
Calcasieu,Access to Maternity Care,22019
Caldwell,Maternity Care Desert,22021
Cameron,Maternity Care Desert,22023
Catahoula,Access to Maternity Care,22025
Claiborne,Access to Maternity Care,22027
Concordia,Maternity Care Desert,22029
De Soto,Maternity Care Desert,22031
East Baton Rouge,Access to Maternity Care,22033
East Carroll,Maternity Care Desert,22035
East Feliciana,Moderate Access to Care,22037
Evangeline,Low Access to Care,22039
Franklin,Maternity Care Desert,22041
Grant,Low Access to Care,22043
Iberia,Access to Maternity Care,22045
Iberville,Moderate Access to Care,22047
Jackson,Maternity Care Desert,22049
Jefferson,Access to Maternity Care,22051
Jefferson Davis,Access to Maternity Care,22053
Lafayette,Access to Maternity Care,22055
Lafourche,Access to Maternity Care,22057
La Salle,Maternity Care Desert,22059
Lincoln,Low Access to Care,22061
Livingston,Moderate Access to Care,22063
Madison,Maternity Care Desert,22065
Morehouse,Access to Maternity Care,22067
Natchitoches,Access to Maternity Care,22069
New Orleans,Access to Maternity Care,22071
Ouachita,Access to Maternity Care,22073
Plaquemines,Low Access to Care,22075
Pointe Coupee,Access to Maternity Care,22077
Rapides,Access to Maternity Care,22079
Red River,Access to Maternity Care,22081
Richland,Low Access to Care,22083
Sabine,Maternity Care Desert,22085
St Bernard,Low Access to Care,22087
St Charles,Moderate Access to Care,22089
St Helena,Maternity Care Desert,22091
St James,Maternity Care Desert,22093
St John the Baptist,Access to Maternity Care,22095
St Landry,Access to Maternity Care,22097
St Martin,Low Access to Care,22099
St Mary,Access to Maternity Care,22101
St Tammany,Access to Maternity Care,22103
Tangipahoa,Access to Maternity Care,22105
Tensas,Maternity Care Desert,22107
Terrebonne,Access to Maternity Care,22109
Union,Low Access to Care,22111
Vermilion,Low Access to Care,22113
Vernon,Low Access to Care,22115
Washington,Low Access to Care,22117
Webster,Access to Maternity Care,22119
West Baton Rouge,Access to Maternity Care,22121
West Carroll,Maternity Care Desert,22123
West Feliciana,Maternity Care Desert,22125
Winn,Maternity Care Desert,22127
Barnstable,Access to Maternity Care,25001
Berkshire,Access to Maternity Care,25003
Bristol,Access to Maternity Care,25005
Dukes,Access to Maternity Care,25007
Essex,Access to Maternity Care,25009
Franklin,Access to Maternity Care,25011
Hampden,Access to Maternity Care,25013
Hampshire,Access to Maternity Care,25015
Middlesex,Access to Maternity Care,25017
Nantucket,Moderate Access to Care,25019
Norfolk,Access to Maternity Care,25021
Plymouth,Access to Maternity Care,25023
Suffolk,Access to Maternity Care,25025
Worcester,Access to Maternity Care,25027
Allegany,Access to Maternity Care,24001
Anne Arundel,Access to Maternity Care,24003
Baltimore county,Access to Maternity Care,24005
Calvert,Access to Maternity Care,24009
Caroline,Moderate Access to Care,24011
Carroll,Access to Maternity Care,24013
Cecil,Access to Maternity Care,24015
Charles,Access to Maternity Care,24017
Dorchester,Moderate Access to Care,24019
Frederick,Access to Maternity Care,24021
Garrett,Access to Maternity Care,24023
Harford,Access to Maternity Care,24025
Howard,Access to Maternity Care,24027
Kent,Access to Maternity Care,24029
Montgomery,Access to Maternity Care,24031
Prince Georges,Access to Maternity Care,24033
Queen Annes,Access to Maternity Care,24035
St Marys,Access to Maternity Care,24037
Somerset,Maternity Care Desert,24039
Talbot,Access to Maternity Care,24041
Washington,Access to Maternity Care,24043
Wicomico,Access to Maternity Care,24045
Worcester,Access to Maternity Care,24047
Baltimore city,Access to Maternity Care,24510
Androscoggin,Access to Maternity Care,23001
Aroostook,Access to Maternity Care,23003
Cumberland,Access to Maternity Care,23005
Franklin,Access to Maternity Care,23007
Hancock,Access to Maternity Care,23009
Kennebec,Access to Maternity Care,23011
Knox,Access to Maternity Care,23013
Lincoln,Access to Maternity Care,23015
Oxford,Access to Maternity Care,23017
Penobscot,Access to Maternity Care,23019
Piscataquis,Access to Maternity Care,23021
Sagadahoc,Access to Maternity Care,23023
Somerset,Low Access to Care,23025
Waldo,Access to Maternity Care,23027
Washington,Access to Maternity Care,23029
York,Access to Maternity Care,23031
Alcona,Maternity Care Desert,26001
Alger,Maternity Care Desert,26003
Allegan,Moderate Access to Care,26005
Alpena,Access to Maternity Care,26007
Antrim,Maternity Care Desert,26009
Arenac,Maternity Care Desert,26011
Baraga,Maternity Care Desert,26013
Barry,Access to Maternity Care,26015
Bay,Access to Maternity Care,26017
Benzie,Access to Maternity Care,26019
Berrien,Access to Maternity Care,26021
Branch,Access to Maternity Care,26023
Calhoun,Access to Maternity Care,26025
Cass,Access to Maternity Care,26027
Charlevoix,Access to Maternity Care,26029
Cheboygan,Moderate Access to Care,26031
Chippewa,Access to Maternity Care,26033
Clare,Moderate Access to Care,26035
Clinton,Moderate Access to Care,26037
Crawford,Access to Maternity Care,26039
Delta,Access to Maternity Care,26041
Dickinson,Moderate Access to Care,26043
Eaton,Moderate Access to Care,26045
Emmet,Access to Maternity Care,26047
Genesee,Access to Maternity Care,26049
Gladwin,Maternity Care Desert,26051
Gogebic,Moderate Access to Care,26053
Grand Traverse,Access to Maternity Care,26055
Gratiot,Access to Maternity Care,26057
Hillsdale,Access to Maternity Care,26059
Houghton,Access to Maternity Care,26061
Huron,Moderate Access to Care,26063
Ingham,Access to Maternity Care,26065
Ionia,Moderate Access to Care,26067
Iosco,Access to Maternity Care,26069
Iron,Maternity Care Desert,26071
Isabella,Access to Maternity Care,26073
Jackson,Access to Maternity Care,26075
Kalamazoo,Access to Maternity Care,26077
Kalkaska,Moderate Access to Care,26079
Kent,Access to Maternity Care,26081
Keweenaw,Maternity Care Desert,26083
Lake,Maternity Care Desert,26085
Lapeer,Moderate Access to Care,26087
Leelanau,Access to Maternity Care,26089
Lenawee,Access to Maternity Care,26091
Livingston,Access to Maternity Care,26093
Luce,Maternity Care Desert,26095
Mackinac,Access to Maternity Care,26097
Macomb,Access to Maternity Care,26099
Manistee,Access to Maternity Care,26101
Marquette,Access to Maternity Care,26103
Mason,Access to Maternity Care,26105
Mecosta,Access to Maternity Care,26107
Menominee,Access to Maternity Care,26109
Midland,Access to Maternity Care,26111
Missaukee,Moderate Access to Care,26113
Monroe,Access to Maternity Care,26115
Montcalm,Moderate Access to Care,26117
Montmorency,Access to Maternity Care,26119
Muskegon,Moderate Access to Care,26121
Newaygo,Moderate Access to Care,26123
Oakland,Access to Maternity Care,26125
Oceana,Access to Maternity Care,26127
Ogemaw,Maternity Care Desert,26129
Ontonagon,Maternity Care Desert,26131
Osceola,Maternity Care Desert,26133
Oscoda,Maternity Care Desert,26135
Otsego,Access to Maternity Care,26137
Ottawa,Access to Maternity Care,26139
Presque Isle,Maternity Care Desert,26141
Roscommon,Maternity Care Desert,26143
Saginaw,Access to Maternity Care,26145
St Clair,Access to Maternity Care,26147
St Joseph,Access to Maternity Care,26149
Sanilac,Moderate Access to Care,26151
Schoolcraft,Maternity Care Desert,26153
Shiawassee,Access to Maternity Care,26155
Tuscola,Moderate Access to Care,26157
Van Buren,Access to Maternity Care,26159
Washtenaw,Access to Maternity Care,26161
Wayne,Access to Maternity Care,26163
Wexford,Access to Maternity Care,26165
Aitkin,Access to Maternity Care,27001
Anoka,Access to Maternity Care,27003
Becker,Access to Maternity Care,27005
Beltrami,Access to Maternity Care,27007
Benton,Moderate Access to Care,27009
Big Stone,Maternity Care Desert,27011
Blue Earth,Access to Maternity Care,27013
Brown,Access to Maternity Care,27015
Carlton,Moderate Access to Care,27017
Carver,Access to Maternity Care,27019
Cass,Access to Maternity Care,27021
Chippewa,Access to Maternity Care,27023
Chisago,Moderate Access to Care,27025
Clay,Moderate Access to Care,27027
Clearwater,Maternity Care Desert,27029
Cook,Maternity Care Desert,27031
Cottonwood,Maternity Care Desert,27033
Crow Wing,Access to Maternity Care,27035
Dakota,Access to Maternity Care,27037
Dodge,Moderate Access to Care,27039
Douglas,Access to Maternity Care,27041
Faribault,Access to Maternity Care,27043
Fillmore,Maternity Care Desert,27045
Freeborn,Access to Maternity Care,27047
Goodhue,Moderate Access to Care,27049
Grant,Access to Maternity Care,27051
Hennepin,Access to Maternity Care,27053
Houston,Access to Maternity Care,27055
Hubbard,Moderate Access to Care,27057
Isanti,Access to Maternity Care,27059
Itasca,Moderate Access to Care,27061
Jackson,Maternity Care Desert,27063
Kanabec,Moderate Access to Care,27065
Kandiyohi,Moderate Access to Care,27067
Kittson,Maternity Care Desert,27069
Koochiching,Access to Maternity Care,27071
Lac qui Parle,Maternity Care Desert,27073
Lake,Maternity Care Desert,27075
Lake of the Woods,Maternity Care Desert,27077
Le Sueur,Maternity Care Desert,27079
Lincoln,Maternity Care Desert,27081
Lyon,Access to Maternity Care,27083
McLeod,Access to Maternity Care,27085
Mahnomen,Maternity Care Desert,27087
Marshall,Maternity Care Desert,27089
Martin,Access to Maternity Care,27091
Meeker,Moderate Access to Care,27093
Mille Lacs,Access to Maternity Care,27095
Morrison,Moderate Access to Care,27097
Mower,Access to Maternity Care,27099
Murray,Maternity Care Desert,27101
Nicollet,Moderate Access to Care,27103
Nobles,Access to Maternity Care,27105
Norman,Maternity Care Desert,27107
Olmsted,Access to Maternity Care,27109
Otter Tail,Access to Maternity Care,27111
Pennington,Access to Maternity Care,27113
Pine,Maternity Care Desert,27115
Pipestone,Maternity Care Desert,27117
Polk,Access to Maternity Care,27119
Pope,Access to Maternity Care,27121
Ramsey,Access to Maternity Care,27123
Red Lake,Maternity Care Desert,27125
Redwood,Maternity Care Desert,27127
Renville,Moderate Access to Care,27129
Rice,Access to Maternity Care,27131
Rock,Access to Maternity Care,27133
Roseau,Moderate Access to Care,27135
St Louis,Access to Maternity Care,27137
Scott,Access to Maternity Care,27139
Sherburne,Moderate Access to Care,27141
Sibley,Moderate Access to Care,27143
Stearns,Access to Maternity Care,27145
Steele,Access to Maternity Care,27147
Stevens,Access to Maternity Care,27149
Swift,Maternity Care Desert,27151
Todd,Access to Maternity Care,27153
Traverse,Maternity Care Desert,27155
Wabasha,Access to Maternity Care,27157
Wadena,Moderate Access to Care,27159
Waseca,Moderate Access to Care,27161
Washington,Access to Maternity Care,27163
Watonwan,Low Access to Care,27165
Wilkin,Access to Maternity Care,27167
Winona,Access to Maternity Care,27169
Wright,Access to Maternity Care,27171
Yellow Medicine,Maternity Care Desert,27173
Adair,Low Access to Care,29001
Andrew,Maternity Care Desert,29003
Atchison,Low Access to Care,29005
Audrain,Access to Maternity Care,29007
Barry,Low Access to Care,29009
Barton,Maternity Care Desert,29011
Bates,Maternity Care Desert,29013
Benton,Maternity Care Desert,29015
Bollinger,Maternity Care Desert,29017
Boone,Access to Maternity Care,29019
Buchanan,Low Access to Care,29021
Butler,Access to Maternity Care,29023
Caldwell,Maternity Care Desert,29025
Callaway,Maternity Care Desert,29027
Camden,Access to Maternity Care,29029
Cape Girardeau,Access to Maternity Care,29031
Carroll,Maternity Care Desert,29033
Carter,Access to Maternity Care,29035
Cass,Low Access to Care,29037
Cedar,Low Access to Care,29039
Chariton,Maternity Care Desert,29041
Christian,Low Access to Care,29043
Clark,Maternity Care Desert,29045
Clay,Access to Maternity Care,29047
Clinton,Access to Maternity Care,29049
Cole,Access to Maternity Care,29051
Cooper,Maternity Care Desert,29053
Crawford,Maternity Care Desert,29055
Dade,Maternity Care Desert,29057
Dallas,Maternity Care Desert,29059
Daviess,Maternity Care Desert,29061
De Kalb,Maternity Care Desert,29063
Dent,Maternity Care Desert,29065
Douglas,Maternity Care Desert,29067
Dunklin,Maternity Care Desert,29069
Franklin,Access to Maternity Care,29071
Gasconade,Access to Maternity Care,29073
Gentry,Maternity Care Desert,29075
Greene,Access to Maternity Care,29077
Grundy,Maternity Care Desert,29079
Harrison,Maternity Care Desert,29081
Henry,Low Access to Care,29083
Hickory,Maternity Care Desert,29085
Holt,Maternity Care Desert,29087
Howard,Access to Maternity Care,29089
Howell,Access to Maternity Care,29091
Iron,Access to Maternity Care,29093
Jackson,Access to Maternity Care,29095
Jasper,Access to Maternity Care,29097
Jefferson,Low Access to Care,29099
Johnson,Access to Maternity Care,29101
Knox,Maternity Care Desert,29103
Laclede,Low Access to Care,29105
Lafayette,Access to Maternity Care,29107
Lawrence,Low Access to Care,29109
Lewis,Maternity Care Desert,29111
Lincoln,Maternity Care Desert,29113
Linn,Maternity Care Desert,29115
Livingston,Access to Maternity Care,29117
McDonald,Maternity Care Desert,29119
Macon,Maternity Care Desert,29121
Madison,Maternity Care Desert,29123
Maries,Maternity Care Desert,29125
Marion,Access to Maternity Care,29127
Mercer,Maternity Care Desert,29129
Miller,Maternity Care Desert,29131
Mississippi,Maternity Care Desert,29133
Moniteau,Maternity Care Desert,29135
Monroe,Maternity Care Desert,29137
Montgomery,Access to Maternity Care,29139
Morgan,Low Access to Care,29141
New Madrid,Maternity Care Desert,29143
Newton,Low Access to Care,29145
Nodaway,Access to Maternity Care,29147
Oregon,Maternity Care Desert,29149
Osage,Maternity Care Desert,29151
Ozark,Access to Maternity Care,29153
Pemiscot,Low Access to Care,29155
Perry,Low Access to Care,29157
Pettis,Access to Maternity Care,29159
Phelps,Access to Maternity Care,29161
Pike,Maternity Care Desert,29163
Platte,Access to Maternity Care,29165
Polk,Low Access to Care,29167
Pulaski,Low Access to Care,29169
Putnam,Maternity Care Desert,29171
Ralls,Maternity Care Desert,29173
Randolph,Low Access to Care,29175
Ray,Maternity Care Desert,29177
Reynolds,Maternity Care Desert,29179
Ripley,Maternity Care Desert,29181
St Charles,Access to Maternity Care,29183
St Clair,Access to Maternity Care,29185
Ste Genevieve,Access to Maternity Care,29186
St Francois,Low Access to Care,29187
St Louis county,Access to Maternity Care,29189
Saline,Access to Maternity Care,29195
Schuyler,Maternity Care Desert,29197
Scotland,Access to Maternity Care,29199
Scott,Access to Maternity Care,29201
Shannon,Maternity Care Desert,29203
Shelby,Maternity Care Desert,29205
Stoddard,Maternity Care Desert,29207
Stone,Low Access to Care,29209
Sullivan,Maternity Care Desert,29211
Taney,Low Access to Care,29213
Texas,Low Access to Care,29215
Vernon,Low Access to Care,29217
Warren,Low Access to Care,29219
Washington,Maternity Care Desert,29221
Wayne,Maternity Care Desert,29223
Webster,Low Access to Care,29225
Worth,Maternity Care Desert,29227
Wright,Low Access to Care,29229
St Louis city,Access to Maternity Care,29510
Adams,Access to Maternity Care,28001
Alcorn,Access to Maternity Care,28003
Amite,Access to Maternity Care,28005
Attala,Maternity Care Desert,28007
Benton,Maternity Care Desert,28009
Bolivar,Access to Maternity Care,28011
Calhoun,Maternity Care Desert,28013
Carroll,Maternity Care Desert,28015
Chickasaw,Maternity Care Desert,28017
Choctaw,Maternity Care Desert,28019
Claiborne,Maternity Care Desert,28021
Clarke,Low Access to Care,28023
Clay,Access to Maternity Care,28025
Coahoma,Access to Maternity Care,28027
Copiah,Maternity Care Desert,28029
Covington,Maternity Care Desert,28031
De Soto,Access to Maternity Care,28033
Forrest,Access to Maternity Care,28035
Franklin,Maternity Care Desert,28037
George,Low Access to Care,28039
Greene,Maternity Care Desert,28041
Grenada,Access to Maternity Care,28043
Hancock,Access to Maternity Care,28045
Harrison,Access to Maternity Care,28047
Hinds,Access to Maternity Care,28049
Holmes,Maternity Care Desert,28051
Humphreys,Maternity Care Desert,28053
Issaquena,Low Access to Care,28055
Itawamba,Maternity Care Desert,28057
Jackson,Access to Maternity Care,28059
Jasper,Maternity Care Desert,28061
Jefferson,Access to Maternity Care,28063
Jefferson Davis,Maternity Care Desert,28065
Jones,Low Access to Care,28067
Kemper,Maternity Care Desert,28069
Lafayette,Access to Maternity Care,28071
Lamar,Access to Maternity Care,28073
Lauderdale,Access to Maternity Care,28075
Lawrence,Maternity Care Desert,28077
Leake,Maternity Care Desert,28079
Lee,Access to Maternity Care,28081
Leflore,Access to Maternity Care,28083
Lincoln,Access to Maternity Care,28085
Lowndes,Access to Maternity Care,28087
Madison,Access to Maternity Care,28089
Marion,Maternity Care Desert,28091
Marshall,Maternity Care Desert,28093
Monroe,Access to Maternity Care,28095
